time	avg 5
0	150
1	150
2	150
3	153.6
4	153.6
5	153.6
6	137.6
7	137.4
8	133.6
9	133.6
10	133.2
11	149
12	149
13	149
14	149
15	152
16	156.2
17	160.8
18	165
19	169
20	170.4
21	171.6
22	171.2
23	171.2
24	171.2
25	171.2
26	170
27	148
28	130
29	130
30	130
31	130
32	152
33	168.8
34	168.8
35	168.8
