time	latency
0	250.6
1	250.5
2	250.3
3	250.1
4	250.1
5	249.9
6	249.6
7	249.6
8	249.3
9	249.2
10	249.1
11	248.9
12	248.5
13	248.2
14	248.1
15	247.9
16	247.7
17	247.4
18	247.4
19	247.1
20	247.1
21	247.0
22	246.7
23	246.5
24	246.2
25	246.1
26	246.0
27	245.7
28	245.5
29	245.5
30	245.3
31	245.1
32	244.7
33	244.7
34	244.4
35	244.4
36	244.1
37	243.9
38	243.8
39	243.7
40	243.3
41	243.3
42	242.9
43	242.8
44	242.7
45	242.6
46	242.6
47	242.3
48	242.5
49	241.8
