time	avg 3
0	150
1	150
2	150
3	156
4	156
5	156
6	123.3333333
7	123
8	122.6666667
9	149.3333333
10	149
11	149
12	148.6666667
13	149
14	149.3333333
15	154
16	161
17	168.3333333
18	170.6666667
19	170.6666667
20	170
21	172
22	172
23	172
24	170
25	170
26	170
27	133.3333333
28	103.3333333
29	103.3333333
30	140
31	170
32	170
33	168
34	168
35	168
