time	median 3
0	150
1	150
2	150
3	150
4	150
5	149
6	149
7	149
8	149
9	149
10	149
11	149
12	149
13	150
14	163
15	170
16	170
17	170
18	170
19	170
20	170
21	170
22	170
23	170
24	170
25	170
26	80
27	80
28	170
29	170
30	170
31	170
32	170
33	170
34	170
35	170
